GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS482413553	2025-07-08 01:28:26.277606	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS636423772	2025-07-08 01:26:20.258448	22251	species	avibase-9C691722	Jerdon's Bushlark	Plocealauda affinis				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-04-17		obsr636947		S46942460	Historical	Historical	P62						6	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS482413592	2025-07-08 01:28:26.277606	26362	species	avibase-5713B725	Jungle Babbler	Argya striata				5					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3340497176	2025-07-08 01:05:58.499228	6288	species	avibase-3222F80F	Oriental Pratincole	Glareola maldivarum				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Dadadahalli Kere (ದಡದಹಳ್ಳಿ ಕೆರೆ)	L2486935	H	12.2117408	76.6335869	2017-04-29	15:45:00	obsr3068939		S257020163	Traveling	Traveling	P22			150	6.000		2	1		1	0	0			Photographed the bird at the western edge of the lake	
URN:CornellLabOfOrnithology:EBIRD:OBS482413658	2025-07-08 01:28:26.277606	28749	species	avibase-0E5168F9	White-rumped Shama	Copsychus malabaricus				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514110821	2025-07-08 01:26:20.221435	22251	species	avibase-9C691722	Jerdon's Bushlark	Plocealauda affinis				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-05-20	07:00:00	obsr452970		S37811790	Traveling	Traveling	P22			180	6.000		2	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514115807	2025-07-08 01:26:20.172323	7959	species	avibase-F6D547B2	Tawny Eagle	Aquila rapax				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-05-21	06:45:00	obsr452970		S37812192	Traveling	Traveling	P22			180	10.000		6	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508272809	2025-07-08 01:26:20.044741	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr659034		S37395602	Traveling	Traveling	P22			180	8.047		4	1	G2469622	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS509041545	2025-07-08 01:26:20.102021	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr840546		S37444651	Traveling	Traveling	P22			180	8.047		4	1	G2469622	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508326871	2025-07-08 01:26:20.081412	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr645548		S37399585	Traveling	Traveling	P22			135	8.047		4	1	G2469622	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508995510	2025-07-08 01:28:48.771158	23030	species	avibase-7939B436	Jungle Prinia	Prinia sylvatica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Kabini	L5940131	P	11.9792593	76.1999026	2017-06-07	06:35:00	obsr500573		S37441036	Traveling	Traveling	P22			170	22.531		5	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514324702	2025-07-08 01:26:19.790189	22287	spuh	avibase-E32DAEE2	Mirafra sp.	Mirafra sp.				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-26	11:18:00	obsr462641		S37827631	Traveling	Traveling	P22			23	4.000		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS924612835	2024-10-22 21:39:51.168755	22262	issf	avibase-6B089785	Singing Bushlark	Mirafra javanica	Singing Bushlark (Singing)	Mirafra javanica [cantillans Group]		4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Hulimavu Gudda  ಹುಳಿಮಾವು ಗುಡ್ಡ	L2476104	H	12.1645999	76.7341081	2017-06-04	06:45:00	obsr667475		S69193286	Traveling	Traveling	P22			195	3.000		2	1	G5344926	0	0	0			Known location where breeds and forages	
URN:CornellLabOfOrnithology:EBIRD:OBS680360445	2024-10-22 21:39:51.14883	22262	issf	avibase-6B089785	Singing Bushlark	Mirafra javanica	Singing Bushlark (Singing)	Mirafra javanica [cantillans Group]		4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Hulimavu Gudda  ಹುಳಿಮಾವು ಗುಡ್ಡ	L2476104	H	12.1645999	76.7341081	2017-06-04	06:45:00	obsr360080		S50229413	Traveling	Traveling	P22			195	3.000		2	1	G5344926	0	0	0			Known location where breeds and forages	
URN:CornellLabOfOrnithology:EBIRD:OBS1331025971	2025-07-08 00:56:59.794968	20311	species	avibase-2042CD42	Greater Racket-tailed Drongo	Dicrurus paradiseus				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Kabini Backwaters	L17090698	H	11.9475872	76.2799728	2017-07-02	06:30:00	obsr2924331		S101767001	Stationary	Stationary	P21			360			1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574797294	2025-07-08 01:26:19.673352	22252	species	avibase-A9DA95E4	Indian Bushlark	Plocealauda erythroptera				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-07-10		obsr576429		S42532653	Historical	Historical	P62							1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574797277	2025-07-08 01:26:19.673352	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-07-10		obsr576429		S42532653	Historical	Historical	P62							1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574797268	2025-07-08 01:26:19.673352	23030	species	avibase-7939B436	Jungle Prinia	Prinia sylvatica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-07-10		obsr576429		S42532653	Historical	Historical	P62							1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1331025972	2025-07-08 00:56:59.794968	28154	species	avibase-F82540A0	Orange-headed Thrush	Geokichla citrina				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Kabini Backwaters	L17090698	H	11.9475872	76.2799728	2017-07-02	06:30:00	obsr2924331		S101767001	Stationary	Stationary	P21			360			1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS924612738	2024-10-22 21:41:27.620296	22262	issf	avibase-6B089785	Singing Bushlark	Mirafra javanica	Singing Bushlark (Singing)	Mirafra javanica [cantillans Group]		2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mandakalli Plains ಮಂಡಕಳ್ಳಿ ಹುಲ್ಲುಗಾವಲು	L2477782	P	12.2243812	76.6466331	2017-07-08	07:30:00	obsr667475		S69193284	Traveling	Traveling	P22			150	2.000		2	1	G5344924	0	0	0		Open grassland	Known breeding/ foraging habitat-	
URN:CornellLabOfOrnithology:EBIRD:OBS680315515	2024-10-22 21:41:27.602841	22262	issf	avibase-6B089785	Singing Bushlark	Mirafra javanica	Singing Bushlark (Singing)	Mirafra javanica [cantillans Group]		2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mandakalli Plains ಮಂಡಕಳ್ಳಿ ಹುಲ್ಲುಗಾವಲು	L2477782	P	12.2243812	76.6466331	2017-07-08	07:30:00	obsr360080		S50225998	Traveling	Traveling	P22			150	2.000		2	1	G5344924	0	0	0		Open grassland	Known breeding/ foraging habitat-	
URN:CornellLabOfOrnithology:EBIRD:OBS522226083	2025-07-08 01:01:51.55268	7917	issf	avibase-04E62BED	Changeable Hawk-Eagle	Nisaetus cirrhatus	Changeable Hawk-Eagle (Crested)	Nisaetus cirrhatus cirrhatus/ceylanensis		1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Indraprastha ಇಂದ್ರಪ್ರಸ್ಥ	L1933806	H	12.2187301	76.6262054	2017-07-30	16:00:00	obsr360226		S38405260	Traveling	Traveling	P22			120	5.000		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS523579543	2025-07-08 01:08:41.083747	22251	species	avibase-9C691722	Jerdon's Bushlark	Plocealauda affinis				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18203				Beerwal	L2574329	P	11.9467997	76.4569473	2017-08-06	08:15:00	obsr358210		S38508252	Traveling	Traveling	P22			150	1.000		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1331032631	2025-07-08 00:56:59.771106	12249	species	avibase-378A591F	Malabar Parakeet	Psittacula columboides				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Kabini Backwaters	L17090698	H	11.9475872	76.2799728	2017-08-12	06:30:00	obsr2924331		S101767135	Stationary	Stationary	P21			360			1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1331032633	2025-07-08 00:56:59.771106	7917	issf	avibase-04E62BED	Changeable Hawk-Eagle	Nisaetus cirrhatus	Changeable Hawk-Eagle (Crested)	Nisaetus cirrhatus cirrhatus/ceylanensis		X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Kabini Backwaters	L17090698	H	11.9475872	76.2799728	2017-08-12	06:30:00	obsr2924331		S101767135	Stationary	Stationary	P21			360			1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS523579512	2025-07-08 01:08:41.083747	26369	species	avibase-A70548E8	Yellow-billed Babbler	Argya affinis				5					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18203				Beerwal	L2574329	P	11.9467997	76.4569473	2017-08-06	08:15:00	obsr358210		S38508252	Traveling	Traveling	P22			150	1.000		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1728270989	2025-07-08 01:04:25.036739	27620	species	avibase-F8CFF92C	Bank Myna	Acridotheres ginginianus				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysuru	L24388382	P	12.3052000	76.6554000	2017-09-17	06:00:00	obsr1531962		S137955223	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1728270995	2025-07-08 01:04:25.036739	8040	species	avibase-A59A2D4D	Besra	Tachyspiza virgata				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysuru	L24388382	P	12.3052000	76.6554000	2017-09-17	06:00:00	obsr1531962		S137955223	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS535316001	2025-07-08 01:28:52.979144	7940	species	avibase-28D7E7CC	Black Eagle	Ictinaetus malaiensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18227				(12.077, 76.713)	L6293837	P	12.0766105	76.7132333	2017-09-24	08:30:00	obsr679158		S39357301	Traveling	Traveling	P22			90	0.193		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS534475049	2025-07-08 01:26:19.549339	11878	species	avibase-2DAB45B8	Eurasian Kestrel	Falco tinnunculus				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-09-12	06:00:00	obsr520953		S39299475	Traveling	Traveling	P22			600	10.000		2	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS534475006	2025-07-08 01:26:19.549339	20257	species	avibase-00E2192F	Hair-crested Drongo	Dicrurus hottentottus				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-09-12	06:00:00	obsr520953		S39299475	Traveling	Traveling	P22			600	10.000		2	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS530796176	2025-07-08 01:28:52.610586	23030	species	avibase-7939B436	Jungle Prinia	Prinia sylvatica				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole Tiger Reserve, (Rajiv Gandhi National Park),	L6249280	P	11.9627806	76.2295437	2017-09-04	06:30:00	obsr548050		S39045547	Traveling	Traveling	P22			180	5.000		1	1		0	0	0		Birds noted on the jeep safari to and within the Nagarhole Tiger Reserve. The weather was very overcast and the second half of the trip was marred by rain	There were calls of both this species and grey-breasted prinia from the scrub. Only the latter was seen and visually confirmed. This species is identified only by the call	
URN:CornellLabOfOrnithology:EBIRD:OBS1728270993	2025-07-08 01:04:25.036739	29286	species	avibase-6A3CA06B	Red-breasted Flycatcher	Ficedula parva				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysuru	L24388382	P	12.3052000	76.6554000	2017-09-17	06:00:00	obsr1531962		S137955223	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS534475045	2025-07-08 01:26:19.549339	7959	species	avibase-F6D547B2	Tawny Eagle	Aquila rapax				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-09-12	06:00:00	obsr520953		S39299475	Traveling	Traveling	P22			600	10.000		2	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1728270983	2025-07-08 01:04:25.036739	21995	species	avibase-ACF0445B	White-naped Tit	Machlolophus nuchalis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysuru	L24388382	P	12.3052000	76.6554000	2017-09-17	06:00:00	obsr1531962		S137955223	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1728271016	2025-07-08 01:04:25.097195	11492	species	avibase-8A613564	Common Flameback	Dinopium javanense				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Kukkarahalli Lake, Mysuru	L24388383	P	12.3105000	76.6305400	2017-10-08	06:00:00	obsr1531962		S137955224	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS544055858	2025-07-08 01:26:19.482142	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-10-21	16:00:00	obsr633425		S40098958	Historical	Historical	P62			150	20.000		3	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1728271018	2025-07-08 01:04:25.097195	7567	species	avibase-DF32B1F9	Western Reef-Heron	Egretta gularis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Kukkarahalli Lake, Mysuru	L24388383	P	12.3105000	76.6305400	2017-10-08	06:00:00	obsr1531962		S137955224	Traveling	Traveling	P22			60	1.609		1	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS550538644	2025-07-08 01:07:31.42929	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Kaggalipura Kere ಕಗ್ಗಲೀಪುರ ಕೆರೆ	L2520707	H	12.2753529	76.8952417	2017-11-19	10:30:00	obsr973442		S40588450	Traveling	Traveling	P22			60	2.000		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574796703	2025-07-08 01:26:19.355751	22252	species	avibase-A9DA95E4	Indian Bushlark	Plocealauda erythroptera				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-11-05	07:00:00	obsr576429		S42532625	Traveling	Traveling	P22			240	4.828		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS552148106	2025-07-08 01:08:40.334592	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Amkahalli kere	L2574250	P	11.9277165	76.5006566	2017-11-25	07:30:00	obsr360187		S40716245	Traveling	Traveling	P22			80	1.000		3	1	G2751045	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS552144107	2025-07-08 01:08:40.293861	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Amkahalli kere	L2574250	P	11.9277165	76.5006566	2017-11-25	07:30:00	obsr358210		S40715951	Traveling	Traveling	P22			80	1.000		3	1	G2751045	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574796762	2025-07-08 01:26:19.355751	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-11-05	07:00:00	obsr576429		S42532625	Traveling	Traveling	P22			240	4.828		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS553741366	2025-07-08 01:28:55.566291	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole Safari	L6524329	P	11.9500617	76.2194391	2017-11-20	06:15:00	obsr488398		S40843065	Traveling	Traveling	P22			150	8.000		2	1	G2762978	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS553741231	2025-07-08 01:28:55.532788	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole Safari	L6524329	P	11.9500617	76.2194391	2017-11-20	06:15:00	obsr799041		S40843056	Traveling	Traveling	P22			150	8.000		2	1	G2762978	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574796700	2025-07-08 01:26:19.355751	23030	species	avibase-7939B436	Jungle Prinia	Prinia sylvatica				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-11-05	07:00:00	obsr576429		S42532625	Traveling	Traveling	P22			240	4.828		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS574796756	2025-07-08 01:26:19.355751	7708	species	avibase-793E3F20	Spot-billed Pelican	Pelecanus philippensis				15					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-11-05	07:00:00	obsr576429		S42532625	Traveling	Traveling	P22			240	4.828		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS552144086	2025-07-08 01:08:40.293861	26369	species	avibase-A70548E8	Yellow-billed Babbler	Argya affinis				5					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Amkahalli kere	L2574250	P	11.9277165	76.5006566	2017-11-25	07:30:00	obsr358210		S40715951	Traveling	Traveling	P22			80	1.000		3	1	G2751045	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS552146730	2025-07-08 01:08:41.05801	26369	species	avibase-A70548E8	Yellow-billed Babbler	Argya affinis				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18203				Beerwal	L2574329	P	11.9467997	76.4569473	2017-11-25	09:30:00	obsr358210		S40716149	Traveling	Traveling	P22			150	1.000		3	1	G2751044	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS556486559	2025-07-08 01:05:21.200988	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Mysore City Bird Atlas 19A, Kukkarahalli kere  ಕುಕ್ಕರಹಳ್ಳಿ ಕೆರೆ	L2479400	H	12.3095948	76.6333401	2017-12-12	08:00:00	obsr370339		S41042911	Traveling	Traveling	P22			120	1.500		4	1	G2782498	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS556481397	2025-07-08 01:05:21.266424	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Mysore City Bird Atlas 19A, Kukkarahalli kere  ಕುಕ್ಕರಹಳ್ಳಿ ಕೆರೆ	L2479400	H	12.3095948	76.6333401	2017-12-12	08:00:00	obsr663186		S41042607	Traveling	Traveling	P22			120	1.500		4	1	G2782498	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS571149545	2025-07-08 01:05:21.291502	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Mysore City Bird Atlas 19A, Kukkarahalli kere  ಕುಕ್ಕರಹಳ್ಳಿ ಕೆರೆ	L2479400	H	12.3095948	76.6333401	2017-12-12	08:00:00	obsr806022		S42239206	Traveling	Traveling	P22			120	1.500		4	1	G2782498	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS644780719	2025-07-08 01:05:21.236704	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18220				Mysore City Bird Atlas 19A, Kukkarahalli kere  ಕುಕ್ಕರಹಳ್ಳಿ ಕೆರೆ	L2479400	H	12.3095948	76.6333401	2017-12-12	08:00:00	obsr1139326		S47578934	Traveling	Traveling	P22			120	1.500		4	1	G2782498	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS558614973	2025-07-08 01:26:48.156666	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					12 B, MCBA 2016	L4230123	P	12.3230221	76.6215277	2017-12-18	08:00:00	obsr370339		S41192397	Traveling	Traveling	P22			120	1.000		4	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS559237203	2025-07-08 01:28:55.841707	30402	species	avibase-5FEE1D85	Golden-fronted Leafbird	Chloropsis aurifrons				2					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					IN-Karnataka-Orange County (11.9261,76.2670)	L6592577	P	11.9260960	76.2669690	2017-12-22	07:10:00	obsr988906		S41241283	Stationary	Stationary	P21			5			4	1		0	0	0				
